Date,Product Name,Model,Price (AED),Original Price (AED),Discount,Stock Status,Available Qty,Product URL
2025-05-20,Deepcool CH360 Tempered Glass Micro-ATX Case - White | R-CH360-WHAPE3D-G-1,,375.0,,,In Stock,,https://gccgamers.com/computer-parts-compnents/deepcool-ch360-tempered-glass-micro-atx-case-white-r-ch360-whape3d-g-1.html
2025-05-20,Deepcool CH360 Tempered Glass Micro-ATX Case - Black | R-CH360-BKAPE3D-G-1,,355.0,,,In Stock,,https://gccgamers.com/computer-parts-compnents/deepcool-ch360-tempered-glass-micro-atx-case-black-r-ch360-bkape3d-g-1.html
2025-05-20,DeepCool CH170 Digital SFF Mini-ITX Gaming Case - White | R-CH170-WHNPI0D-G-1,,315.0,,,In Stock,,https://gccgamers.com/computer-parts-compnents/deepcool-ch170-digital-sff-mini-itx-gaming-case-white-r-ch170-whnpi0d-g-1.html
2025-05-20,DeepCool CH170 Digital SFF Mini-ITX Gaming Case - Black | R-CH170-BKNPI0D-G-1,,299.0,,,In Stock,,https://gccgamers.com/computer-parts-compnents/deepcool-ch170-digital-sff-mini-itx-gaming-case-black-r-ch170-bknpi0d-g-1.html
2025-05-20,CORSAIR 9000D RGB AIRFLOW Super Full-Tower PC Case - White | CC-9011274-WW,,1999.0,,,In Stock,,https://gccgamers.com/computer-parts-compnents/corsair-9000d-rgb-airflow-super-full-tower-pc-case-white-cc-9011274-ww.html
2025-05-20,CORSAIR 9000D RGB AIRFLOW Super Full-Tower PC Case - Black | CC-9011273-WW,,,,,Out of Stock,,https://gccgamers.com/computer-parts-compnents/corsair-9000d-rgb-airflow-super-full-tower-pc-case-black-cc-9011273-ww.html
2025-05-20,Fractal Era 2 Mini-ITX Case - Charcoal | FD-C-ERA2N-02,,,,-6%,Out of Stock,,https://gccgamers.com/computer-parts-compnents/fractal-era-2-mini-itx-case-charcoal-fd-c-era2n-02.html
2025-05-20,NZXT H5 Flow  Compact Mid-Tower ATX Airflow Case - White | CC-H52FW-01,,395.0,,,In Stock,,https://gccgamers.com/computer-parts-compnents/nzxt-h5-flow-compact-mid-tower-atx-airflow-case-white-cc-h52fw-01.html
2025-05-20,NZXT H5 Flow RGB Compact ATX Mid-Tower Airflow Case - Black | CC-H52FB-R1,,495.0,,,In Stock,,https://gccgamers.com/computer-parts-compnents/nzxt-h5-flow-rgb-compact-atx-mid-tower-airflow-case-black-cc-h52fb-r1.html
2025-05-20,NZXT H5 Flow RGB Compact ATX Mid-Tower Airflow Case - White | CC-H52FW-R1,,495.0,,,In Stock,,https://gccgamers.com/computer-parts-compnents/nzxt-h5-flow-rgb-compact-atx-mid-tower-airflow-case-white-cc-h52fw-r1.html
2025-05-20,NZXT H5 Flow  Compact Mid-Tower ATX Airflow Case - Black | CC-H52FB-01,,395.0,,,In Stock,,https://gccgamers.com/computer-parts-compnents/nzxt-h5-flow-compact-mid-tower-atx-airflow-case-black-cc-h52fb-01.html
2025-05-20,SilverStone CS382 High Performance Micro-ATX NAS chassis Case - Black | CS382,,899.0,,,In Stock,,https://gccgamers.com/computer-parts-compnents/silverstone-cs382-high-performance-miceo-atx-nas-chassis-case-black-cs382.html
2025-05-20,Xigmatek Master X II E-ATX ARGB Case - Black | EN44298,,250.0,,,In Stock,,https://gccgamers.com/computer-parts-compnents/xigmatek-master-x-ii-e-atx-argb-case-black-en44298.html
2025-05-20,Xigmatek Alphard Artic E-ATX ARGB Case - White | EN43833,,285.0,315.00,-10%,In Stock,,https://gccgamers.com/computer-parts-compnents/xigmatek-alphard-artic-e-atx-argb-case-black-en43833.html
2025-05-20,Xigmatek Alphard E-ATX ARGB Case - Black | EN43802,,,,-9%,Out of Stock,,https://gccgamers.com/computer-parts-compnents/xigmatek-alphard-e-atx-argb-case-black-en43802.html
2025-05-20,Xigmatek Master X II E-ATX ARGB Case - Black | EN44212,,260.0,,,In Stock,,https://gccgamers.com/computer-parts-compnents/xigmatek-master-x-ii-e-atx-argb-case-black-en44212.html
2025-05-20,CORSAIR 6500X Mid-Tower Dual Chamber PC Case - White/Satin Gray Aluminum | CC-9011285-WW,,930.0,999.00,-7%,In Stock,,https://gccgamers.com/computer-parts-compnents/corsair-6500x-mid-tower-dual-chamber-pc-case-white-satin-gray-aluminum-cc-9011285-ww.html
2025-05-20,CORSAIR 6500X Mid-Tower Dual Chamber PC Case - White/Bamboo Wood | CC-9011284-WW,,930.0,999.00,-7%,In Stock,,https://gccgamers.com/computer-parts-compnents/corsair-6500x-mid-tower-dual-chamber-pc-case-white-bamboo-wood-cc-9011284-ww.html
2025-05-20,CORSAIR 6500X Mid-Tower Dual Chamber PC Case - Black/Obsidian Aluminum | CC-9011283-WW,,930.0,999.00,-7%,In Stock,,https://gccgamers.com/computer-parts-compnents/corsair-6500x-mid-tower-dual-chamber-pc-case-black-obsidian-aluminum-cc-9011283-ww.html
2025-05-20,CORSAIR 6500X Mid-Tower Dual Chamber PC Case - Black/Walnut Wood | CC-9011282-WW,,930.0,999.00,-7%,In Stock,,https://gccgamers.com/computer-parts-compnents/corsair-6500x-mid-tower-dual-chamber-pc-case-black-walnut-wood-cc-9011282-ww.html
2025-05-20,CORSAIR 6500D AIRFLOW Mid-Tower Dual Chamber PC Case - White | CC-9011260-WW,,699.0,,,In Stock,,https://gccgamers.com/computer-parts-compnents/corsair-6500d-airflow-mid-tower-dual-chamber-pc-case-white-cc-9011260-ww.html
2025-05-20,CORSAIR 3500X ARGB Mid-Tower PC Case - White | CC-9011279-WW,,525.0,,,In Stock,,https://gccgamers.com/computer-parts-compnents/corsair-3500x-argb-mid-tower-pc-case-white-cc-9011279-ww.html
